Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1969","1969","1000 tonnes","27706","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1970","1970","1000 tonnes","28578","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1971","1971","1000 tonnes","28891","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1972","1972","1000 tonnes","28710","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1973","1973","1000 tonnes","30600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1974","1974","1000 tonnes","30263","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1975","1975","1000 tonnes","29876","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1976","1976","1000 tonnes","30941","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1977","1977","1000 tonnes","31011","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1978","1978","1000 tonnes","31197","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1979","1979","1000 tonnes","31165","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1980","1980","1000 tonnes","31730","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1981","1981","1000 tonnes","31566","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1982","1982","1000 tonnes","32055","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1983","1983","1000 tonnes","31997","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1984","1984","1000 tonnes","31767","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1985","1985","1000 tonnes","31081","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1986","1986","1000 tonnes","31830","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1987","1987","1000 tonnes","33307","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1988","1988","1000 tonnes","33448","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1989","1989","1000 tonnes","32432","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1990","1990","1000 tonnes","32903","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1991","1991","1000 tonnes","28963","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1992","1992","1000 tonnes","27526","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1993","1993","1000 tonnes","26708","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1994","1994","1000 tonnes","26362","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1995","1995","1000 tonnes","26281","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1996","1996","1000 tonnes","27024","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBSH","Food Balances (old methodology and population)","5400","Europe","5301","Domestic supply quantity","2542","Sugar (Raw Equivalent)","1997","1997","1000 tonnes","26724","A","Aggregate, may include official, semi-official, estimated or calculated data"
