API_NY.GDP.PCAP.PP.KD_DS2_en_csv_v2_992688
Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahrain,BHR,35113.5078392167,37997.2050321247,39506.4510924844,43499.5492315483,42334.9716311219,42897.0801137669,43504.8786575437,43624.303392291,44315.8244115239,44562.8417974461,44942.8278713412,43887.536236615,43037.2212818862,43187.8826912296,43355.7381178465,43202.2472611104,42672.5174642962,42754.4835207745,42215.1190747494,40714.8017281235,40570.7612040579,40168.3278932788,40967.4083486514,42691.1094352072,43846.5685541003,43925.7201828869,43731.983424014,43320.656139557,41973.112933757
"Bahamas, The",BHS,31005.636485491,29164.3983210033,27519.3026804507,27090.7660552441,27459.9103809806,28218.5422989711,29017.4330110787,29267.4906697163,30306.2847016489,32088.7824995024,32972.9406359751,33328.0245285838,33668.4424988705,32662.026721545,32354.6996224201,32838.9943043302,33037.6167730227,32884.1288424016,31531.871633751,29703.4249165462,29706.9085147558,29503.7080684624,30079.2591725046,28906.3486795299,28847.0235756914,28742.3229678975,28586.0299456597,28318.1074283424,28472.2004633762
Bosnia and Herzegovina,BIH,,,,,1478.22863363389,1835.82133544711,3528.47719143365,4777.89430157646,5525.80882069315,6041.69805896642,6360.70035028028,6632.90413273274,6977.24882763048,7250.96525253779,7689.14119792918,8360.12758097704,8812.8005703931,9335.38182285093,9864.3099205696,9615.06174206243,9768.49374305946,9976.47966210109,10061.1312406675,10478.9609955098,10783.4235512218,11287.4086889344,11790.6345579212,12166.3127304705,12711.8397673642
Belarus,BLR,8366.63218540654,8262.17850987819,7452.92486020855,6871.03319279074,6074.24098779921,5460.13841164859,5631.80627795077,6300.49799152434,6862.29737993061,7125.52295663578,7574.4049979219,7973.1135065485,8428.86324527166,9085.88621617333,10195.5108209511,11230.3314313225,12429.2352111868,13560.2284948669,14995.0776294825,15058.6044544366,16260.5926799472,17166.6956434719,17472.3249308517,17644.8544069875,17933.3427177555,17219.1206477761,16763.0361063249,17193.4241428478,17741.8622306394
Belize,BLZ,5027.07292061031,5498.53932448576,6060.29378206191,6333.13535711752,6215.53400451704,6095.89511632832,5989.04539333794,5979.79305512905,5970.04137815712,6256.54580332325,6833.03970627792,6957.7800255906,7110.09850593982,7570.00826163121,7719.05475499133,7714.49342674001,7859.43578126645,7741.81412417678,7788.67244977689,7645.75259912517,7713.02525646207,7694.35511087352,7738.48939200547,7630.25236631463,7740.68103339624,7838.48363087379,7634.4496169031,7592.31187105674,7673.65358698539
Bermuda,BMU,40553.2585214927,39322.1091825364,39584.3298590314,40557.2201557525,40518.4078179105,41999.2594636705,42816.9632444088,44514.1094159639,45911.6864997413,47199.8414462497,51140.236844667,54245.1496398132,53096.9254922092,54549.8011627024,55452.6388804958,56017.19161965,58784.5932914465,60117.4599095649,60675.9820859495,57151.9191321066,56395.0078003539,54984.5103947777,52137.3003731125,50669.3147696996,,,,,
Bolivia,BOL,3702.60174413553,3816.10061656015,3797.96919783072,3877.84125384053,3975.14961189305,4076.20422429133,4168.16708342386,4287.48107130384,4414.51527041023,4347.28987161212,4370.97939244791,4360.67669966251,4385.95864096695,4422.42126647315,4524.06981166348,4640.55616316529,4778.7213936392,4911.63309805467,5126.19962688807,5210.74222054361,5337.32562765861,5524.71779777384,5715.52484798514,6008.59258421997,6239.5482959879,6444.37511535808,6620.43801753902,6798.9293493876,6986.04648747244
Brazil,BRA,10341.6562085301,10314.9269363822,10092.9649717955,10389.4021314482,10766.2865162095,11062.2921222452,11128.2738664022,11327.5379399222,11193.3783673296,11080.4215508043,11403.0641954757,11404.5887553301,11599.5472792504,11585.2872027243,12106.2864979658,12351.5970776375,12701.7344815611,13333.6082605309,13874.2073496677,13724.0962101695,14619.5074109419,15061.9531879979,15214.7581753608,15535.6268843308,15480.8679600758,14807.2038619133,14200.3147705243,14236.0117980023,14282.7170075809
Barbados,BRB,14796.3890544715,14166.7347290065,13310.4344095139,13365.7628850334,13582.0695369583,13800.2845148441,14290.2669823573,14904.1279571366,15393.8708067027,15381.7098670997,16002.8059256608,15567.7885749064,15637.2888819282,15924.8243083373,16093.5935478565,16667.2618376457,17538.7784643158,17786.342161742,17868.7194128323,16930.3997517225,16502.6520667464,16321.9834236748,16270.0942516325,16013.6490442293,15956.8433559552,16280.151289403,16623.6781993755,16569.5722629089,16463.5174338393
Brunei Darussalam,BRN,84693.3369699,84900.1982264864,86445.6867488517,84311.3134736275,84627.927816406,86138.6253791603,86433.8070082535,83159.5438876726,80833.0879924194,81495.8832320835,82068.2976162848,82616.9375328356,84146.0606385298,84993.8245553396,83963.2380663136,82977.1111560941,85421.5590866792,84480.7770109541,81869.1760781014,79485.0015805958,80556.1807175419,82502.9352973488,82149.9097964176,79323.4374535226,76448.5933286697,75073.9365712816,72369.5233674193,72523.7294463439,71802.2717197874
