,Objektart,MietpreisproMonat,Zimmer,Verfügbarab,rating,adress,publication_date,city,DateofScrapping,Wohnfläche,Geschoss,Kabel-TV,Rollstuhlgängig,Baujahr,Balkon(e),Einstellplatz,Aussenparkplatz,Cheminée,MietpreisproMonat(exkl.NK),Nebenkosten,Lift,ÖV-Haltestelle,Einkaufsmöglichkeit,Haustiereerlaubt,Autobahn,Kindergarten,Primarschule,Sekundarschule,Raumhöhe,Wohnungen,Bäder,Neubau,Still,Sonnig,Nutzfläche,Toiletten,Kinderfreundlich,Erstbezug,Minergie-zertifiziert,AltesGebäude,Geschirrspülmaschine,Wasseranschluss,Kubatur,Eckhaus,Veranda,Hochparterre,Hebebühne,Anfahrrampe,Holzofen,Grundstückfläche
23016533,Wohnung,2306,3.5,01.05.2020,NaN,"Michael-Maggi-Strasse 20, 8046 Zürich",25.02.2020,zuerich,26.02.2020,,2.Stock,1,,,,,1,,2056,250,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
23019079,Wohnung,3145,2.5,01.05.2020,3,"Seestrasse 27, 8002 Zürich",25.02.2020,zuerich,26.02.2020,66,4.Stock,1,1,2015,1,1,,,2950,195,1,100m,100m,,500m,,,,,,,,,,,,,,,,,,,,,,,,,
23023808,Wohnung,1550,2,01.03.2020,4,"Altwiesenstr. 83, 8051 Zürich",25.02.2020,zuerich,26.02.2020,54,1.Stock,1,,1954,1,1,1,,1350,200,,50m,300m,1,,50m,50m,100m,,,,,,,,,,,,1,,,,,,,,,,
23023786,Dachwohnung,3500,4.5,,NaN,"Brunaustr. 17, 8002 Zürich",25.02.2020,zuerich,26.02.2020,,2.Stock,1,,1996,,1,,,3000,500,1,100m,1000m,,1000m,1000m,700m,1200m,,,,,,,,,,,,,,,,,,,,,,
23023826,Wohnung,1990,2.5,,4,"Tramstr. 1, 8050 Zürich",25.02.2020,zuerich,26.02.2020,66,2.Stock,1,,1943,,,1,,1815,175,1,10m,150m,1,,1200m,550m,550m,,,,,,,,,,,,1,,,,,,,,,,
23019166,Maisonette,1875,2.5,16.04.2020,5,"Schaffhauserstrasse 230 A, 8057 Zürich",25.02.2020,zuerich,26.02.2020,64,2.Stock,,,1990,,,,,1650,225,,200m,700m,,,200m,300m,300m,,,,,,,,,,,,,,,,,,,,,,
23018473,Wohnung,900,4,nachVereinbarung,NaN,8002 Zürich ZH,25.02.2020,zuerich,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23023784,Wohnung,3825,4.5,01.06.2020,5,"Turbinenstrasse 33, 8005 Zürich",25.02.2020,zuerich,26.02.2020,125,7.Stock,1,,2012,,1,,,3525,300,1,300m,300m,,,,,,,,,,,,,,,,,,,,,,,,,,,
23019080,Wohnung,5240,2.5,nachVereinbarung,NaN,"Seestrasse 27, 8002 Zürich",25.02.2020,zuerich,26.02.2020,82,8.Stock,1,,2015,1,1,,,5000,240,1,100m,100m,,500m,,,,,,,,,,,,,,,,,,,,,,,,,
23015782,Wohnung,1654,1.5,01.05.2020,NaN,"Biberlinstrasse, 48, 8032 Zürich ZH",25.02.2020,zuerich,26.02.2020,59,EG,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
