,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Baujahr,Verfügbarab,Balkon(e),Einstellplatz,Lift,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,ÖV-Haltestelle,Autobahn,Kindergarten,Primarschule,Sekundarschule,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Aussenparkplatz,AltesGebäude,Nutzfläche,Hochparterre,Rollstuhlgängig,Neubau,Geschirrspülmaschine,Estrich,Cheminée,Toiletten,Minergie-zertifiziert,Kubatur,Raumhöhe,Mittelhaus,Wohnungen,Wasseranschluss,Swimmingpool,Möbliert,Grundstückfläche
15836730,Wohnung,1220,1100,120,42,2.5,1.Stock,1890,01.04.2020,,1,,,,,200m,1000m,1000m,1000m,2000m,2000m,5,"Eichwaldstrasse 11, 6005 Luzern",21.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
22993179,Wohnung,1940,1650,290,93,4,3.Stock,1959,01.07.2020,1,,,,1,1,,,,,,,5,"Imfangstrasse 27, 6005 Luzern",21.02.2020,luzern,26.02.2020,1,,,,,,,,,,,,,,,,,,
23026832,Wohnung,2985,2685,300,124,5,,,01.04.2020,1,,1,,,,100m,300m,,,,50m,NaN,"Schützenstrasse 8, 6003 Luzern",20.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22997376,Wohnung,1647,1407,240,94,4.5,4.Stock,,01.04.2020,1,1,1,1,1,1,300m,1500m,500m,800m,,,NaN,"Obergütschrain 7, 6003 Luzern",21.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22991234,Wohnung,1810,1580,230,87,3.5,2.Stock,,01.06.2020,1,,1,,1,,,,,,,,NaN,"Ulmenstrasse 30, 6003 Luzern",,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22997220,Wohnung,2300,2050,250,120,5.5,EG,,01.05.2020,1,,1,1,,,250m,5300m,500m,500m,500m,650m,NaN,"Giselihalde  13, 6006 Luzern",21.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
23026833,Wohnung,1650,1500,150,59,2,,,01.04.2020,1,,1,,,,100m,300m,,,,50m,NaN,"Schützenstrasse 8, 6003 Luzern",20.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22997277,Wohnung,1750,1500,250,81,4.5,5.Stock,,01.05.2020,1,1,1,,1,,300m,2000m,80m,80m,1m,500m,NaN,"Fluhmühlerain 18, 6014 Luzern",21.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22991753,Maisonette,1930,1750,180,95,3.5,5.Stock,,nachVereinbarung,1,,1,,,,100m,,,,,100m,NaN,"Fluhmattweg 3, 6004 Luzern",20.02.2020,luzern,26.02.2020,,,,,,,,,,,,,,,,,,,
22997377,Attika,2079,1829,250,82,3.5,7.Stock,,01.05.2020,1,1,1,,1,1,,,,,,,NaN,"Obergütschrain 7, 6003 Luzern",21.02.2020,luzern,26.02.2020,,,,,,,,,1,,,,,,,,,,
