,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Verfügbarab,Balkon(e),Lift,AltesGebäude,ÖV-Haltestelle,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Nutzfläche,Baujahr,Aussenparkplatz,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,Kindergarten,Primarschule,Sekundarschule,Autobahn,Einstellplatz,Rollstuhlgängig,Minergie-zertifiziert,Cheminée,Kubatur,Hochparterre,Neubau,Wohnungen,Wasseranschluss,Toiletten,Mittelhaus,Möbliert,JährlicherMietpreisprom²,JährlicherMietpreisprom²(exkl.NK)
22873043,Wohnung,1320,1080,240,60,3,1.Stock,nachVereinbarung,1,,,,,5,"Tiefenaustrasse 139, 3004 Bern",03.02.2020,bern,26.02.2020,,1951,,1,,,,,,,,,,,,,,,,,,,,
22871189,Maisonette,3100,2800,300,153,5.5,3.Stock,sofort,1,,1,140m,220m,3,"Südbahnhofstrasse 4, 3007 Bern",,bern,26.02.2020,,1906,,,1,,320m,,,,,,,1,,,,,,,,,,
22872140,Wohnung,1320,1080,240,60,3,1.Stock,,,,,,,NaN,3004 Bern,03.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22870085,Wohnung,550,,,,4,,nachVereinbarung,,,,,,NaN,3018 Bern BE,03.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22866634,Wohnung,1495,1325,170,40,2,2.Stock,01.04.2020,,1,,,,NaN,"Brunngasse, 8, 3011 Bern BE",03.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22866077,Wohnung,1490,1310,180,53,2.5,5.Stock,01.04.2020,,1,,300m,,NaN,"Effingerstrasse 41a, 3008 Bern",,bern,26.02.2020,53,,,,1,,,,,,,,,1,,,,,,,,,,
22879006,Einzelzimmer,619,,,20,,,sofort,,,,,,NaN,"Wankdorffeldstrasse 83, 3014 Bern",03.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22866920,Wohnung,650,,,13,1,19.Stock,sofort,1,1,,,,NaN,3015 Bern BE,03.02.2020,bern,26.02.2020,,1977,1,,1,,,,,,,,,,,,,,,,,,,
22855263,Wohnung,4500,,,36,1.5,,sofort,,,,,,NaN,"Mühledorfstrasse1, 3018 Bern",31.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22860992,Wohnung,1600,,,,2.5,,15.03.2020,1,,,250m,310m,NaN,"Holligenstrasse 85, 3008 Bern",,bern,26.02.2020,,,1,,,,520m,690m,,1m,,,,,,1,,,,,,,,
22859930,Wohnung,1680,1500,180,70,3,2.Stock,,1,,,20m,500m,NaN,"Weissensteinstrasse 35, 3007 Bern",31.01.2020,bern,26.02.2020,,,,,,,500m,500m,500m,,,,,,,,,,,,,,,
22860642,Wohnung,2835,2520,315,71,3.5,3.Stock,01.05.2020,,1,,300m,50m,NaN,"Zeughausgasse 27, Wohnungen, 3011 Bern",31.01.2020,bern,26.02.2020,,1927,,,1,,1000m,2800m,2800m,,,,,,,,,,,,,,,
22848071,Wohnung,1390,1200,190,,3.5,EG,01.05.2020,1,,,,,NaN,"Brünnenstrasse 65, 3018 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22847922,Wohnung,3490,3140,350,158,4.5,2.Stock,01.04.2020,1,1,,200m,150m,3,"Wasserwerkgasse 33, 3011 Bern",,bern,26.02.2020,,1980,1,,1,,400m,100m,,3000m,1,1,,1,,,,,,,,,,
22847911,Wohnung,2690,2390,300,96,3,,01.03.2020,,1,,,,NaN,"Münstergasse 16, 3011 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22848078,Wohnung,1750,1550,200,78,3,2.Stock,01.03.2020,1,,,,,NaN,"Waldstätterstrasse 23, 3014 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22839519,Wohnung,1200,,,,2.5,,sofort,,,,,,NaN,3000 Bern,29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22840923,Wohnung,150,,,36,1.5,,nachVereinbarung,,,,,,NaN,"Mühledorfstrasse 1, 3018 Bern",29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22842292,Wohnung,1700,1490,210,82,3.5,,01.03.2020,1,,,,,4,"Heckenweg 40, 3007 Bern",29.01.2020,bern,26.02.2020,,1961,,1,,,,,,,,,,,,,,,,,,,,
22839518,Einzelzimmer,628,,,,,,sofort,,,,,,NaN,3000 Bern,29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22839483,Einzelzimmer,766,,,,,,sofort,,,,,,NaN,"Nähe Rosengarten, 3013 Bern",29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22839459,Wohnung,1800,,,,3,,sofort,,,,,,NaN,"Schlossstrasse 93, 3008 Bern",29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22839465,Wohnung,1600,,,60,2,,sofort,,,,,,NaN,3011 Bern,29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22839479,Einzelzimmer,720,,,16,,,sofort,,,,,,NaN,"Funkerstrasse 2, 3013 Bern",29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22839386,Einzelzimmer,450,,,,,,sofort,,,,,,NaN,"Bolligenstrasse, 3006 Bern",29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22839381,Einzelzimmer,600,,,15,,,sofort,,,,,,NaN,"Erlenweg 14, 3005 Bern",29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22838846,Attika,2870,2570,300,,5.5,,sofort,,,,,,NaN,"Mülinenstrasse 28, 3006 Bern",29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,1,,,,,,,,,,
22839385,Einzelzimmer,370,,,20,,,sofort,,,,,,NaN,3006 Bern,29.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22919640,Wohnung,1720,1520,200,,3.5,5.Stock,01.07.2020,1,1,,,,NaN,"Winkelriedstrasse 14, 3014 Bern",28.01.2020,bern,26.02.2020,,,1,,1,,,,,,,,,,,,,,,,,,,
22829703,Wohnung,1110,,,,1,1.Stock,01.03.2020,1,,,410m,330m,NaN,"Güterstrasse  16, 3008 Bern",,bern,26.02.2020,,,,,,,800m,510m,,,,,,,,,,,,,,,,
22830980,Einzelzimmer,1150,1000,150,30,1,3.Stock,sofort,,,,,,NaN,"Rathausgasse  18, 3011 Bern",28.01.2020,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
15769803,Wohnung,1720,1520,200,,3.5,5.Stock,01.07.2020,1,1,,200m,200m,NaN,"Winkelriedstrasse 14, 3014 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22825593,Wohnung,2300,,,,4.5,,nachVereinbarung,,,,,,NaN,3011 Bern BE,27.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22824535,Wohnung,1110,910,200,49,2,17.Stock,01.03.2020,1,1,,500m,100m,NaN,"Waldmannstrasse 61, 3027 Bern",,bern,26.02.2020,,,,,,,,,,,,,,1,,,,,,,,,,
22824407,Wohnung,3040,2740,300,,6,5.Stock,01.04.2020,1,1,,50m,100m,NaN,"Neufeldstrasse 15, 3012 Bern",27.01.2020,bern,26.02.2020,,,,,,,20m,20m,20m,,,,,,,,,,,,,,,
22825361,Wohnung,1710,1450,260,,4,2.Stock,01.03.2020,1,1,,,,NaN,"Bümplizstrasse 12, 3027 Bern BE",27.01.2020,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
22827667,Wohnung,1290,1140,150,40,1,EG,01.05.2020,1,1,,100m,100m,3,"Sulgenbachstr. 20, 3007 Bern",27.01.2020,bern,26.02.2020,,2003,,1,1,,600m,600m,1000m,,1,,,,,,,,,,,,,
23009097,Wohnung,950,,,,1.5,,nachVereinbarung,,,,,,NaN,3014 Bern BE,27.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22822874,Wohnung,2200,,,,3.5,,nachVereinbarung,,,,,,NaN,3006 Bern BE,27.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22827517,Wohnung,1670,1500,170,,2,3.Stock,01.04.2020,,1,,,,NaN,"Kramgasse 11, 3011 Bern",27.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22824895,Wohnung,3500,,,130,5.5,EG,sofort,1,,,,,NaN,3006 Bern BE,27.01.2020,bern,26.02.2020,,1960,,,1,,,,,,1,,,,,,,,,,,,,
22825563,Wohnung,1650,1460,190,50,2.5,4.Stock,01.05.2020,1,1,,200m,100m,NaN,"Landoltstrasse 3, 3007 Bern",,bern,26.02.2020,,1948,,,,,,,,,,,,1,,,,,,,,,,
22814014,Wohnung,1750,1550,200,64,3.5,,sofort,1,1,1,500m,500m,NaN,"Hopfenweg 27, 3007 Bern",24.01.2020,bern,26.02.2020,,,,,1,,,,,,,,,,,1,,,,,,,,
22813792,Wohnung,1800,1550,250,74,2.5,1.Stock,sofort,1,,1,100m,500m,NaN,"Wernerstrasse 26, 3006 Bern",,bern,26.02.2020,,,,,,1,500m,500m,500m,800m,,,,,,,,,,,,,,
22983797,Wohnung,2000,1700,300,78,3.5,10.Stock,nachVereinbarung,1,1,,,,NaN,3015 Bern,24.01.2020,bern,26.02.2020,,,,,,,,,,,,1,,,,,,,,,,,,
22814753,Wohnung,1215,1050,165,55,2.5,2.Stock,01.03.2020,1,,,190m,550m,NaN,"Fröschmattstrasse 36, 3018 Bern",24.01.2020,bern,26.02.2020,,1956,,1,,,800m,1000m,,,,,,,,,,,,,,,,
22916934,Wohnung,1580,1400,180,54,2.5,,,,,,,,NaN,3013 Bern,24.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22970502,Wohnung,2050,1840,210,83,4,3.Stock,01.05.2020,1,,,100m,100m,3,"Bühlstrasse 40, 3012 Bern",,bern,26.02.2020,,1954,,,1,1,500m,500m,300m,,,,,,,,,,,,,,,
22927852,Wohnung,1490,,,,2,,sofort,,,,,,NaN,"Wildermettweg 58, 3006 Bern",25.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22815003,Wohnung,2380,2100,280,112,4.5,1.Stock,01.05.2020,,,,,,NaN,"Murtenstrasse 143 C, 3008 Bern",24.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22865840,Wohnung,1870,,,82,3.5,,01.03.2020,,,,,,NaN,"Ankerstrasse 18,, 3006 Bern",24.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22813105,Wohnung,1215,1050,165,55,2.5,2.Stock,,,,,,,NaN,3018 Bern,24.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22827393,Wohnung,1450,1320,130,52,2,4.Stock,01.04.2020,1,1,,190m,100m,NaN,"Breitenrainstrasse 12A, 3013 Bern",23.01.2020,bern,26.02.2020,,,,,,,650m,400m,,,,,,,,,,,,,,,,
22811978,Wohnung,2840,2590,250,111,4.5,2.Stock,01.03.2020,1,1,,100m,100m,NaN,3011 Bern,,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22805667,Wohnung,1290,1070,220,,3,1.Stock,01.05.2020,1,,,,,NaN,"Tiefenaustrasse 129, 3004 Bern",23.01.2020,bern,26.02.2020,,,,,,1,,,,,,,,,,,,,,,,,,
22811917,Wohnung,1600,1400,200,78,2.5,1.Stock,sofort,,,,,,NaN,"Eigerstrasse 12, 3007 Bern",24.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22807785,Wohnung,2500,2250,250,,4.5,1.Stock,sofort,1,,1,,,NaN,"Rodtmattstrasse 31, 3014 Bern",,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
22807752,Wohnung,1850,,,80,3.5,EG,sofort,1,1,,220m,650m,NaN,"Hüsliackerstrasse 23, 3018 Bern",23.01.2020,bern,26.02.2020,,,1,1,1,1,,,,500m,1,,,,,,,,,,,,,
22995363,Wohnung,1400,,,,2.5,,nachVereinbarung,,,,,,NaN,3008 Bern BE,24.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23000222,Dachwohnung,450,,,,1,,nachVereinbarung,,,,,,NaN,3012 Bern BE,23.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22809674,Loft,1870,1650,220,56,2,5.Stock,01.05.2020,,,,,,NaN,"Mühlemattstrasse 55, 3007 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23020988,Wohnung,120,70,50,35,1,Untergeschoss,01.04.2020,,,,300m,500m,NaN,"Keltenstrasse 84, 3018 Bern",23.01.2020,bern,26.02.2020,,1954,,,,,,,,,,,,,,,,,,,,,,
22798844,Wohnung,1900,1650,250,69,3,1.Stock,01.04.2020,1,,,100m,500m,NaN,"Weissenbühlweg 16, 3007 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22797115,Wohnung,2260,2000,260,95,3,1.Stock,sofort,,1,,,,3,"Kapellenstrasse 26, 3011 Bern",22.01.2020,bern,26.02.2020,,1912,,,,,,,,,,,,,,,,,,,,,,
11298313,Wohnung,1400,1200,200,,3,1.Stock,01.03.2020,,,,100m,100m,NaN,"Bahnhöheweg 26, 3018 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22802012,Wohnung,1290,1150,140,,3,4.Stock,,,,,,,NaN,3007 Bern,23.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22800070,Wohnung,1570,1370,200,,3,3.Stock,sofort,1,,,470m,70m,NaN,"Güterstrasse 14, 3008 Bern",22.01.2020,bern,26.02.2020,,,,,1,1,760m,480m,,,1,,,,,,,,,,,,,
22801396,Wohnung,1100,950,150,18,1,3.Stock,sofort,1,,,,,NaN,"Schwanengasse, 3, 3011 Bern BE",23.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22800082,Wohnung,1890,1620,270,91,3.5,2.Stock,sofort,1,1,,,,NaN,"Konsumstrasse 17, 3007 Bern",22.01.2020,bern,26.02.2020,,,,1,1,,,,,,,,,,,,,,,,,,,
22803547,Wohnung,1550,1300,250,,2.5,1.Stock,01.05.2020,,,,180m,440m,NaN,"Zielweg 5, 3014 Bern",,bern,26.02.2020,,,,,1,1,300m,590m,,,,,,,,,,,,,,,,
22803667,Wohnung,2000,1750,250,110,4.5,1.Stock,01.05.2020,1,,1,300m,290m,5,"Werkgasse 29, 3018 Bern",,bern,26.02.2020,110,2000,1,1,1,1,300m,300m,400m,500m,,,,,,,,,,,,,,
22798843,Wohnung,1450,1290,160,62,2.5,2.Stock,01.05.2020,1,,,80m,150m,NaN,"Pestalozzistrasse 22, 3007 Bern",,bern,26.02.2020,,,,,1,,250m,130m,,,,,,,,,,,,,,,,
22786595,Wohnung,1810,1550,260,,4,5.Stock,01.04.2020,,1,,600m,910m,NaN,"Mülinenstrasse 29, 3006 Bern",,bern,26.02.2020,,,,,,,2130m,1960m,,,,,,,,,,,,,,,,
22532506,Wohnung,1498,,,75,3.5,,nachVereinbarung,,,,,,NaN,"Weidmattweg 24, 3018 Bern",21.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22784408,Wohnung,1950,1750,200,70,3,3.Stock,nachVereinbarung,,,,500m,460m,NaN,"Reichenbachstrasse 75, 3004 Bern",,bern,26.02.2020,,,,,,,400m,2040m,2290m,,,,,,,,,,,,,,,
22796811,Wohnung,500,,,65,3,,nachVereinbarung,,,,,,NaN,"Pfaffensteig 4, 3018 Bern",24.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22788477,Wohnung,1675,1370,305,94,3.5,8.Stock,nachVereinbarung,1,1,,,,NaN,"Holenackerstrasse 65, 3027 Bern",21.01.2020,bern,26.02.2020,,,1,,1,1,,,,,,1,,,,,,1,,,,,,
22789185,Wohnung,1390,1200,190,58,2,1.Stock,,,,,,,NaN,3006 Bern,21.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22794824,Wohnung,2320,2070,250,100,4.5,2.Stock,01.05.2020,1,,,50m,550m,NaN,"Mühledorfstrasse 2, 3018 Bern",,bern,26.02.2020,,,,,1,,250m,350m,800m,4000m,1,,,,,,,,,,,,,
22786788,Wohnung,1490,1290,200,65,2.5,Untergeschoss,01.04.2020,1,,,840m,1480m,NaN,"Dunantstrasse 4, 3006 Bern",,bern,26.02.2020,65,1971,,1,1,,560m,560m,,400m,,,,,,,,,,,,,,
22800024,Wohnung,1200,1000,200,,,2.Stock,sofort,,,,,,NaN,"Freiburgstrasse 129, 3008 Bern",22.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22789894,Wohnung,1390,1200,190,58,2,1.Stock,01.03.2020,1,,,200m,1000m,4,"Elfenauweg 23, 3006 Bern",21.01.2020,bern,26.02.2020,,1949,,,,,,,,,,,,,,,,,,,,,,
22859998,Wohnung,1575,1375,200,70,3.5,EG,,1,,,,,NaN,"Winkelriedstrasse 61, 3014 Bern",20.01.2020,bern,26.02.2020,,,,,,1,,,,,,,,,,,,,,,,,,
22895174,Wohnung,1575,,,,3.5,,nachVereinbarung,,,,,,NaN,3014 Bern BE,20.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22768541,Wohnung,1660,1400,260,66,2.5,4.Stock,01.03.2020,,,,,,3,"Gutenbergstr. 37, 3011 Bern",17.01.2020,bern,26.02.2020,,1934,,1,,,,225m,,,,,,,,,,,,,,,,
22769686,Wohnung,2350,2050,300,112,4.5,1.Stock,sofort,,,,,,NaN,"Murtenstrasse 143 F, 3008 Bern",17.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22782084,Wohnung,1260,1110,150,37,1.5,1.Stock,sofort,,,,,,NaN,"Brückfeldstr. 19, 3012 Bern",20.01.2020,bern,26.02.2020,,1976,,1,,,,,,,,,,,,,,,,,,,,
22779118,Wohnung,1360,1160,200,,3,,01.06.2020,1,,,,,NaN,"Freiburgstrasse 433, 3018 Bern",,bern,26.02.2020,,,,1,1,,,,,,,,,,,1,,,,,,,,
22768618,Wohnung,1990,1690,300,82,4.5,3.Stock,sofort,,,1,200m,350m,NaN,"Hopfenweg 40, 3007 Bern",,bern,26.02.2020,,,1,,1,1,500m,500m,500m,,,,,,,,,,,,,,,
22776336,Wohnung,2010,1725,285,91,3.5,EG,01.07.2020,,,,50m,50m,4,"Gigonweg 16, 3027 Bern",,bern,26.02.2020,,2010,,1,,,,,,100m,,,,,,,,,,,,,,
22779980,Wohnung,890,,,17,1,EG,01.04.2020,1,1,,,,NaN,3001 Bern BE,20.01.2020,bern,26.02.2020,,2018,1,,1,,,,,,1,1,,,,,,,,,,,,
22769497,Dachwohnung,2200,1910,290,105,2.5,4.Stock,01.04.2020,,,1,100m,200m,NaN,"Münstergasse 42, 3011 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,1,,,,,,,,,,
22768529,Wohnung,938,740,198,28,1,,sofort,,1,,,,3,"Eigerstrasse 78, 3007 Bern",16.01.2020,bern,26.02.2020,,1956,,1,,,,,,,,,,,,,,,,,,,,
22767470,Wohnung,1800,,,,3,,nachVereinbarung,,,,,,NaN,3008 Bern,16.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22824579,Wohnung,1240,1100,140,,2,4.Stock,sofort,,,,70m,300m,NaN,"Ostring 62, 3006 Bern",,bern,26.02.2020,,,,,,,850m,750m,,,,,,,,,,,,,,,,
22766460,Wohnung,1020,870,150,,1.5,1.Stock,01.07.2020,1,1,,200m,400m,NaN,"Riedbachstrasse 77, 3027 Bern",17.01.2020,bern,26.02.2020,,2017,1,,1,,750m,750m,,600m,1,1,,,,,1,,,,,,,
22753594,Wohnung,400,,,,1,,nachVereinbarung,,,,,,NaN,3005 Bern BE,15.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22758233,Wohnung,1280,1150,130,,2,,01.05.2020,,,,,,NaN,"Chutzenstrasse  61, 3007 Bern",16.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22764611,Wohnung,2880,,,,3.5,,nachVereinbarung,,,,,,NaN,3006 Bern BE,17.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22905956,Wohnung,2357,2057,300,120,4.5,EG,01.04.2020,1,1,,,,3,"Schloss-Strasse 121, 3008 Bern BE",15.01.2020,bern,26.02.2020,,1930,,1,1,,,,,,1,,,,,,,,,,,,,
22761302,Wohnung,2450,,,100,3.5,2.Stock,nachVereinbarung,,,,,,NaN,"Rabbentalstrasse 51, 3013 Bern BE",16.01.2020,bern,26.02.2020,,,,1,,,,,,,,,,,,,,,,,,,,
22755271,Wohnung,1550,1350,200,66,3.5,1.Stock,01.05.2020,,,,230m,800m,4,"Wangenstrasse 86d, 3018 Bern",15.01.2020,bern,26.02.2020,,2000,,,,,500m,600m,600m,850m,,,,,,,,,,,,,,
22747620,Wohnung,2220,2020,200,,3.5,Untergeschoss,nachVereinbarung,1,,1,100m,180m,NaN,"Seftigenstrasse 26, 3007 Bern",,bern,26.02.2020,,1900,,,,,,,,,,,,,,,,,,,,,,
22835037,Wohnung,1500,1300,200,,2.5,EG,sofort,,,,40m,480m,NaN,"Morillonstrasse 6, 3007 Bern",,bern,26.02.2020,,,,,,,820m,910m,,,,,,,,,,,,,,,,
22753919,Wohnung,1698,1473,225,74,3.5,3.Stock,01.04.2020,1,1,,,,NaN,"Morillonstrasse 11, 3007 Bern",21.01.2020,bern,26.02.2020,,,,1,,,,,,,,,,,,,,,,,,,,
22749729,Wohnung,2950,2700,250,,3.5,2.Stock,sofort,1,,,,,NaN,"Lombachweg 13, 3006 Bern",,bern,26.02.2020,,2019,,,1,,,,,,,,,,,,1,,,,,,,
13443727,Wohnung,4650,4250,400,210,7.5,1.Stock,01.05.2020,1,,1,100m,100m,3,"Muristrasse 42, 3006 Bern",,bern,26.02.2020,,1895,,1,1,1,100m,500m,300m,800m,,,,,,,,,,,,,,
22745340,Maisonette,2990,2600,390,121,4.5,2.Stock,01.03.2020,1,,,,,NaN,"Bürenstrasse 27, 3007 Bern",,bern,26.02.2020,,,,1,1,,,,,,,,,1,,,,,,,,,,
22751367,Wohnung,1550,1350,200,,3,2.Stock,01.03.2020,1,,,,,NaN,"Kehrgasse 24, 3018 Bern",15.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22745150,Dachwohnung,2305,2100,205,84,2.5,6.Stock,sofort,,1,,130m,30m,NaN,"Marktgasse 52, 3011 Bern",,bern,26.02.2020,,,,,1,,,,,2900m,,,,,,,,,,,,,,
22748294,Wohnung,1630,1430,200,,3.5,8.Stock,sofort,1,1,,,,NaN,"Neuhausweg 21, 3027 Bern",15.01.2020,bern,26.02.2020,,,1,,,,,,,,1,,,,,,,,,,,,,
22992348,Wohnung,750,,,,1,,nachVereinbarung,,,,,,NaN,3007 Bern BE,15.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22869511,Dachwohnung,830,,,,1,,nachVereinbarung,,,,,,NaN,3011 Bern BE,14.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22737231,Wohnung,1610,1390,220,72,3,EG,01.03.2020,1,,,,,NaN,"Martiweg 7, 3008 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22739903,Wohnung,250,,,,1,,nachVereinbarung,,,,,,NaN,3000 Bern BE,14.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22742331,Wohnung,1380,1160,220,,3,3.Stock,01.05.2020,1,,,,,NaN,"Looslistrasse 40, 3027 Bern",14.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22742980,Wohnung,1345,1145,200,55,2,,01.04.2020,1,1,,,,NaN,"Viktoriastrasse 45, 3013 Bern",,bern,26.02.2020,,,,1,1,1,,,,,,,,,,,,,,,,,,
22979612,Wohnung,2080,1850,230,76,3,1.Stock,16.03.2020,1,1,,,,NaN,"Viktoriastrasse 45, 3013 Bern",,bern,26.02.2020,,,,1,1,1,,,,,,,,,,,1,,,,,,,
22780636,Dachwohnung,1840,1670,170,66,2.5,5.Stock,01.03.2020,,1,,60m,100m,NaN,"Scheibenstrasse 16, 3014 Bern",,bern,26.02.2020,,,,,,,40m,490m,,,,,,,,,1,,,,,,,
22739908,Wohnung,1000,,,,3.5,,nachVereinbarung,,,,,,NaN,3014 Bern BE,14.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22744843,Wohnung,1660,1400,260,88,3.5,,01.04.2020,,,,,,5,"Cäcilienstr. 7, 3007 Bern",14.01.2020,bern,26.02.2020,,1979,,1,,1,,,,,,,,,,,,,,,,,,
22742085,Wohnung,1540,1260,280,,3.5,EG,01.04.2020,1,,,,,NaN,"Burgunderstrasse 17, 3018 Bern",14.01.2020,bern,26.02.2020,,1953,,1,,1,,,,,,,,,,,,,,,,,,
22962806,Wohnung,1900,1650,250,95,4.5,9.Stock,sofort,1,1,,420m,210m,5,"Jupiterstrasse 5, 3015 Bern",,bern,26.02.2020,,1973,,1,,1,520m,390m,,,1,,,,,,,,,,,,,
22837321,Wohnung,1430,,,,2,,nachVereinbarung,,,,,,NaN,3013 Bern BE,11.01.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22848279,Wohnung,1490,1290,200,61,2.5,,16.05.2020,1,1,,,,4,"Mittelstrasse 57, 3012 Bern",,bern,26.02.2020,,1974,,,,,,,,,,,,,,,,,,,,,,
22919672,Wohnung,2190,1990,200,,3,EG,01.04.2020,1,,,,,NaN,"Schillingstrasse 23, 3005 Bern",13.01.2020,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22726324,Wohnung,2650,2360,290,98,4.5,1.Stock,01.04.2020,1,1,,200m,450m,NaN,"Amietstrasse 15, 3006 Bern",,bern,26.02.2020,,,,,1,1,,,,500m,1,1,,,,,,,,,,,,
22738662,Wohnung,1830,1650,180,,3,3.Stock,01.03.2020,,,,30m,50m,NaN,"Seidenweg 6, 3012 Bern",13.01.2020,bern,26.02.2020,,1930,,,,,,,,,,,,,,,,,,,,,,
22725944,Wohnung,2900,2375,525,131,4.5,EG,01.05.2020,1,1,,,,NaN,"Le-Corbusier-Platz 11, 3027 Bern",,bern,26.02.2020,,,,,1,1,,,,,,,,,,,,,,,,,,
22735651,Wohnung,1970,1800,170,53,1.5,2.Stock,01.04.2020,,1,,,,NaN,"Brunngasse 30, 3011 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
16616241,Wohnung,2190,1990,200,,3,,01.04.2020,1,,,180m,865m,NaN,"Schillingstrasse 23, 3005 Bern",,bern,26.02.2020,,,,,1,,,,2500m,,,,,,,1,,,,,,,,
22727212,Wohnung,1440,1300,140,55,2.5,2.Stock,sofort,,1,,,,NaN,"Mühledorfstrasse 4, 3018 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22724110,Wohnung,2040,1850,190,76,3.5,1.Stock,sofort,,,,200m,250m,3,"Elfenauweg 17, 3006 Bern",,bern,26.02.2020,,1954,,,,,,,,,,,,,,,,,,,,,,
