,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Verfügbarab,Balkon(e),Lift,AltesGebäude,ÖV-Haltestelle,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Nutzfläche,Baujahr,Aussenparkplatz,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,Kindergarten,Primarschule,Sekundarschule,Autobahn,Einstellplatz,Rollstuhlgängig,Minergie-zertifiziert,Cheminée,Kubatur,Hochparterre,Neubau,Wohnungen,Wasseranschluss,Toiletten,Mittelhaus,Möbliert,JährlicherMietpreisprom²,JährlicherMietpreisprom²(exkl.NK)
23011216,Wohnung,1063,,,,2,,sofort,,,,,,NaN,"Asterweg 21, 3004 Bern",24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23012103,Einzelzimmer,650,,,,1,,nachVereinbarung,,,,,,NaN,"Unterer Aareggweg 3D, 3004 Bern",24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23011229,Wohnung,1890,1790,100,120,4.5,EG,16.05.2020,1,,,800m,800m,NaN,"Thüringstrasse 24, 3018 Bern",24.02.2020,bern,26.02.2020,,,1,,1,1,,,,1500m,1,,,1,,,,,,,,,,
23011220,Einzelzimmer,750,,,24,,,sofort,,,,,,NaN,3007 Bern,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23018298,Wohnung,1665,1480,185,58,1,3.Stock,15.03.2020,,,,,,NaN,"Junkerngasse 35, 3011 Bern",24.02.2020,bern,26.02.2020,,1555,,,,,,,,,,,,,,,,,,,,,,
23009321,Wohnung,1290,,,,3,,nachVereinbarung,,,,,,NaN,3006 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23011795,Studio,1090,,,,1.5,,nachVereinbarung,,,,,,NaN,3013 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23008236,Wohnung,730,,,110,1,9.Stock,01.04.2020,1,1,,,,NaN,"Jupiterstraße 57, 3015 Bern BE",24.02.2020,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
23010040,Dachwohnung,1290,,,65,2.5,4.Stock,01.06.2020,1,,,,,NaN,"Werkgasse 47, 3018 Bern",24.02.2020,bern,26.02.2020,,,,1,,,,,,,,,,,,,,,,,,,,
23009241,Wohnung,140,,,,1.5,,nachVereinbarung,,,,,,NaN,3011 Bern BE,24.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
