,object_type,price,price_wo_extras,extras,size,rooms,floor,moovIn,balcony,lift,public_transport,shopping,rating,adress,publication_date,city,DateofScrapping,age,parking_out,pets_allowed,tv,kids_ok,KG,PS,SS,highway,parking_in
22988325,Wohnung,1320.0,1070.0,250.0,71.0,3.0,2.0,01.06.2020,,1.0,100.0,50.0,5.0,"Effingerstr. 107, 3008 Bern",,bern,2020-02-26,1948,,,,,,120.0,,,
22989566,Wohnung,1200.0,1050.0,150.0,38.0,1.5,,,1.0,,20.0,30.0,,"Zieglerstrasse 37, 3007 Bern",2020-02-20,bern,2020-02-26,,,,,,,,,200.0,
22988936,Wohnung,1700.0,1450.0,250.0,72.0,3.5,3.0,sofort,1.0,1.0,490.0,260.0,4.0,"Randweg 11, 3013 Bern",,bern,2020-02-26,1971,,,1.0,,230.0,290.0,250.0,2000.0,1.0
22990583,Wohnung,1350.0,,,60.0,3.0,,nachVereinbarung,,,,,,"Baumgartenstrasse 15, 3018 Bern",2020-02-20,bern,2020-02-26,,,,,,,,,,
22990662,Wohnung,1500.0,1300.0,200.0,,3.0,3.0,01.05.2020,1.0,1.0,200.0,470.0,,"Brunnmattstrasse 71, 3007 Bern",,bern,2020-02-26,,,,1.0,,380.0,190.0,,,
22989564,Wohnung,1420.0,,,,2.5,,sofort,,,,,,"Mülinenstrasse, 3006 Bern",2020-02-20,bern,2020-02-26,,,,,,,,,,
22987640,Wohnung,950.0,800.0,150.0,32.0,1.0,1.0,sofort,,,,,,"Schifflaube 24, 3011 Bern BE",2020-02-20,bern,2020-02-26,,,,,,,,,,
22996917,Wohnung,1350.0,,,67.0,3.0,,sofort,,,,,,"Baumgartenstrasse 15, 3018 Bern",2020-02-20,bern,2020-02-26,,,,,,,,,,
22989088,Wohnung,3500.0,3200.0,300.0,110.0,5.0,2.0,01.05.2020,1.0,,400.0,140.0,,"Helvetiastrasse 27, 3005 Bern",,bern,2020-02-26,,,,1.0,1.0,570.0,,,,
22985085,Wohnung,1580.0,,,60.0,2.5,4.0,sofort,1.0,,,,,"Dorngasse 4, 3006 Bern BE",2020-02-19,bern,2020-02-26,,,,,,,,,,
22983446,Wohnung,1300.0,,,31.0,1.0,,01.08.2020,,,,,,3007 Bern,2020-02-19,bern,2020-02-26,,,,,,,,,,
22988431,Attika,2680.0,2450.0,230.0,,2.5,3.0,sofort,1.0,1.0,200.0,800.0,,"Bitziusstrasse 40, 3006 Bern",2020-02-20,bern,2020-02-26,2016,,1.0,,1.0,950.0,500.0,500.0,1000.0,1.0
22985629,Wohnung,2600.0,2270.0,330.0,123.0,4.5,3.0,sofort,,,,,,"Murtenstrasse 143 G, 3008 Bern",2020-02-19,bern,2020-02-26,,,,,,,,,,
